Pra_Test	Trial	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	ObjRotate	PostRotate	Distance	RotateError	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY	ObjRotateSpeed	PostRotateSpeed
0	1	87	143222696	809	348	686	449	0.00	0.00	159.15	0.00	0	-1.17	-9.93	500.00	-500.00	0.00	0.00
0	1	88	143222737	809	348	709	426	0.00	0.00	126.82	0.00	0	-1.19	-9.93	500.00	-500.00	0.00	0.00
0	1	89	143222778	809	348	727	408	0.00	0.00	101.61	0.00	0	-1.20	-9.93	500.00	-500.00	0.00	0.00
0	1	90	143222819	809	347	745	390	0.00	0.00	77.10	0.00	0	-1.21	-9.93	500.00	-500.00	0.00	0.00
0	1	91	143222860	809	347	769	366	0.00	0.00	44.28	0.00	0	-1.23	-9.92	500.00	-500.00	0.00	0.00
0	1	92	143222900	809	346	786	349	0.00	0.00	23.19	0.00	0	-1.24	-9.92	500.00	-500.00	0.00	0.00
0	1	93	143222941	809	346	810	325	0.00	0.00	21.02	0.00	0	-1.25	-9.92	500.00	-500.00	0.00	0.00
0	1	94	143222982	809	346	827	308	0.00	0.00	42.05	0.00	0	-1.26	-9.92	500.00	0.00	0.00	0.00
0	1	95	143223023	809	345	851	308	0.00	0.00	55.97	0.00	0	-1.28	-9.92	0.00	0.00	0.00	0.00
0	1	96	143223064	809	345	851	308	0.00	0.00	55.97	0.00	0	-1.29	-9.92	0.00	0.00	0.00	0.00
0	1	97	143223104	809	344	851	308	0.00	0.00	55.32	0.00	0	-1.31	-9.91	0.00	0.00	0.00	0.00
0	1	98	143223145	809	344	851	308	0.00	0.00	55.32	0.00	0	-1.32	-9.91	0.00	0.00	0.00	0.00
0	1	99	143223186	809	343	851	308	0.00	0.00	54.67	0.00	0	-1.34	-9.91	0.00	0.00	0.00	0.00
0	1	100	143223227	809	343	851	308	0.00	0.00	54.67	0.00	0	-1.35	-9.91	0.00	0.00	0.00	0.00
0	1	101	143223268	809	343	851	308	0.00	0.00	54.67	0.00	0	-1.36	-9.91	0.00	500.00	0.00	0.00
0	1	102	143223309	809	342	851	332	0.00	0.00	43.17	0.00	0	-1.38	-9.90	0.00	500.00	0.00	0.00
0	1	103	143223350	809	342	851	350	0.00	0.00	42.76	0.00	0	-1.39	-9.90	0.00	500.00	0.00	0.00
0	1	104	143223391	809	341	851	374	0.00	0.00	53.41	0.00	0	-1.40	-9.90	-500.00	500.00	0.00	0.00
0	1	105	143223432	808	341	832	392	0.00	0.00	56.36	0.00	0	-1.42	-9.90	-500.00	500.00	0.00	0.00
0	1	106	143223473	808	341	814	411	0.00	0.00	70.26	0.00	0	-1.43	-9.90	-500.00	500.00	0.00	0.00
0	1	107	143223513	808	340	790	434	0.00	0.00	95.71	0.00	0	-1.44	-9.90	0.00	0.00	0.00	0.00
0	1	108	143223553	808	340	790	434	0.00	0.00	95.71	0.00	0	-1.46	-9.89	0.00	0.00	0.00	0.00
0	1	109	143223594	808	339	790	434	0.00	0.00	96.69	0.00	0	-1.47	-9.89	0.00	0.00	0.00	0.00
0	1	110	143223635	808	339	790	434	0.00	0.00	96.69	0.00	0	-1.48	-9.89	0.00	0.00	0.00	0.00
0	1	111	143223676	808	339	790	434	0.00	0.00	96.69	0.00	0	-1.49	-9.89	0.00	-500.00	0.00	0.00
0	1	112	143223717	808	338	790	411	0.00	0.00	75.19	0.00	0	-1.51	-9.89	-500.00	-500.00	0.00	0.00
0	1	113	143223758	808	338	773	393	0.00	0.00	65.19	0.00	0	-1.52	-9.88	-500.00	-500.00	0.00	0.00
0	1	114	143223799	808	337	749	370	0.00	0.00	67.60	0.00	0	-1.54	-9.88	0.00	-500.00	0.00	0.00
0	1	115	143223840	808	337	749	352	0.00	0.00	60.88	0.00	0	-1.55	-9.88	0.00	-500.00	0.00	0.00
0	1	116	143223881	808	337	749	329	0.00	0.00	59.54	0.00	0	-1.56	-9.88	0.00	0.00	0.00	0.00
0	1	117	143223922	808	336	749	329	0.00	0.00	59.41	0.00	0	-1.58	-9.88	0.00	0.00	0.00	0.00
0	1	118	143223963	808	336	749	329	0.00	0.00	59.41	0.00	0	-1.59	-9.87	0.00	0.00	0.00	0.00
0	1	119	143224004	808	335	749	329	0.00	0.00	59.30	0.00	0	-1.60	-9.87	0.00	0.00	0.00	0.00
0	1	120	143224044	808	335	749	329	0.00	0.00	59.30	0.00	0	-1.62	-9.87	0.00	0.00	0.00	0.00
0	1	121	143224085	807	335	749	329	0.00	0.00	58.31	0.00	0	-1.63	-9.87	0.00	0.00	0.00	0.00
0	1	122	143224126	807	334	749	329	0.00	0.00	58.22	0.00	0	-1.64	-9.86	0.00	0.00	0.00	0.00
0	1	123	143224166	807	334	749	329	0.00	0.00	58.22	0.00	0	-1.66	-9.86	500.00	0.00	0.00	0.00
0	1	124	143224207	807	333	773	329	0.00	0.00	34.23	0.00	0	-1.67	-9.86	500.00	0.00	0.00	0.00
0	1	125	143224247	807	333	789	329	0.00	0.00	18.44	0.00	0	-1.68	-9.86	500.00	0.00	0.00	0.00
0	1	126	143224288	807	333	815	329	0.00	0.00	8.94	0.00	1	-1.70	-9.85	500.00	0.00	0.00	0.00
0	1	127	143224329	807	332	830	329	0.00	0.00	23.19	0.00	0	-1.71	-9.85	500.00	0.00	0.00	0.00
0	1	128	143224370	807	332	854	329	0.00	0.00	47.10	0.00	0	-1.73	-9.85	500.00	0.00	0.00	0.00
0	1	129	143224411	807	331	872	329	0.00	0.00	65.03	0.00	0	-1.74	-9.85	500.00	0.00	0.00	0.00
0	1	130	143224452	807	331	897	329	0.00	0.00	90.02	0.00	0	-1.75	-9.85	0.00	0.00	0.00	0.00
0	1	131	143224492	807	331	897	329	0.00	0.00	90.02	0.00	0	-1.76	-9.84	0.00	0.00	0.00	0.00
0	1	132	143224533	807	330	897	329	0.00	0.00	90.01	0.00	0	-1.78	-9.84	0.00	0.00	0.00	0.00
0	1	133	143224573	807	330	897	329	0.00	0.00	90.01	0.00	0	-1.79	-9.84	0.00	0.00	0.00	0.00
0	1	134	143224614	807	329	897	329	0.00	0.00	90.00	0.00	0	-1.81	-9.84	0.00	0.00	0.00	0.00
0	1	135	143224654	806	329	897	329	0.00	0.00	91.00	0.00	0	-1.82	-9.83	0.00	0.00	0.00	0.00
0	1	136	143224695	806	328	897	329	0.00	0.00	91.01	0.00	0	-1.83	-9.83	0.00	0.00	0.00	0.00
0	1	137	143224735	806	328	897	329	0.00	0.00	91.01	0.00	0	-1.85	-9.83	-500.00	0.00	0.00	0.00
0	1	138	143224775	806	328	878	329	0.00	0.00	72.01	0.00	0	-1.86	-9.83	-500.00	0.00	0.00	0.00
0	1	139	143224816	806	327	855	329	0.00	0.00	49.04	0.00	0	-1.87	-9.82	-500.00	0.00	0.00	0.00
0	1	140	143224857	806	327	837	329	0.00	0.00	31.06	0.00	0	-1.89	-9.82	-500.00	0.00	0.00	0.00
0	1	141	143224898	806	326	814	329	0.00	0.00	8.54	0.00	1	-1.90	-9.82	-500.00	0.00	0.00	0.00
0	1	142	143224939	806	326	796	329	0.00	0.00	10.44	0.00	0	-1.91	-9.82	-500.00	0.00	0.00	0.00
0	1	143	143224979	806	326	773	329	0.00	0.00	33.14	0.00	0	-1.93	-9.81	0.00	0.00	0.00	0.00
0	1	144	143225020	806	325	773	329	0.00	0.00	33.24	0.00	0	-1.94	-9.81	0.00	0.00	0.00	0.00
0	1	145	143225061	806	325	773	329	0.00	0.00	33.24	0.00	0	-1.95	-9.81	0.00	0.00	0.00	0.00
0	1	146	143225101	806	324	773	329	0.00	0.00	33.38	0.00	0	-1.97	-9.80	0.00	0.00	0.00	0.00
0	1	147	143225142	806	324	773	329	0.00	0.00	33.38	0.00	0	-1.98	-9.80	0.00	0.00	0.00	0.00
0	1	148	143225183	805	324	773	329	0.00	0.00	32.39	0.00	0	-1.99	-9.80	0.00	0.00	0.00	0.00
0	1	149	143225224	805	323	773	329	0.00	0.00	32.56	0.00	0	-2.01	-9.80	0.00	0.00	0.00	0.00
0	1	150	143225264	805	323	773	329	0.00	0.00	32.56	0.00	0	-2.02	-9.79	0.00	0.00	0.00	0.00
0	1	151	143225305	805	322	773	329	0.00	0.00	32.76	0.00	0	-2.03	-9.79	0.00	0.00	0.00	0.00
0	1	152	143225346	805	322	773	329	0.00	0.00	32.76	0.00	0	-2.05	-9.79	0.00	0.00	0.00	0.00
0	1	153	143225386	805	322	773	329	0.00	0.00	32.76	0.00	0	-2.06	-9.79	0.00	0.00	0.00	0.00
0	1	154	143225427	805	321	773	329	0.00	0.00	32.98	0.00	0	-2.07	-9.78	0.00	0.00	0.00	0.00
0	1	155	143225468	805	321	773	329	0.00	0.00	32.98	0.00	0	-2.09	-9.78	0.00	0.00	0.00	0.00
0	1	156	143225508	805	321	773	329	0.00	0.00	32.98	0.00	0	-2.10	-9.78	0.00	0.00	0.00	0.00
0	1	157	143225549	805	320	773	329	0.00	0.00	33.24	0.00	0	-2.12	-9.77	0.00	0.00	0.00	0.00
0	1	158	143225589	805	320	773	329	0.00	0.00	33.24	0.00	0	-2.13	-9.77	0.00	0.00	0.00	0.00
0	1	159	143225630	805	319	773	329	0.00	0.00	33.53	0.00	0	-2.14	-9.77	0.00	0.00	0.00	0.00
0	1	160	143225671	804	319	773	329	0.00	0.00	32.57	0.00	0	-2.15	-9.77	0.00	0.00	0.00	0.00
0	1	161	143225712	804	319	773	329	0.00	0.00	32.57	0.00	0	-2.17	-9.76	0.00	0.00	0.00	0.00
0	1	162	143225752	804	318	773	329	0.00	0.00	32.89	0.00	0	-2.18	-9.76	0.00	0.00	0.00	0.00
0	1	163	143225793	804	318	773	329	0.00	0.00	32.89	0.00	0	-2.19	-9.76	0.00	0.00	0.00	0.00
0	1	164	143225833	804	317	773	329	0.00	0.00	33.24	0.00	0	-2.21	-9.75	0.00	0.00	0.00	0.00
0	1	165	143225874	804	317	773	329	0.00	0.00	33.24	0.00	0	-2.22	-9.75	0.00	0.00	0.00	0.00
0	1	166	143225915	804	316	773	329	0.00	0.00	33.62	0.00	0	-2.23	-9.75	0.00	0.00	0.00	0.00
0	1	167	143225955	804	316	773	329	0.00	0.00	33.62	0.00	0	-2.25	-9.74	0.00	0.00	0.00	0.00
